hfpxzc href,qBF1Pd,MW4etd,UY7F9,W4Efsd,W4Efsd 2,doJOZc,W4Efsd 3,W4Efsd 4,W4Efsd 5,W4Efsd 6,UsdlK,website,Cw1rxd,R8c4Qb,Cw1rxd 2,R8c4Qb 2,ah5Ghc,W4Efsd 7,M4A5Cf,ah5Ghc 2,email
https://www.google.com/maps/place/Feely+Group+-+Ottawa+Real+Estate+Team/data=!4m7!3m6!1s0x4cce0f652404dc0b:0x93913ee67e90bd5f!8m2!3d45.4062043!4d-75.6992541!16s%2Fg%2F11h2jtwltr!19sChIJC9wEJGUPzkwRX72QfuY-kZM?authuser=0&hl=en&rclk=1,Feely Group - Ottawa Real Estate Team,5,-389,Real Estate Agency,·,,424 Catherine St #200,·,Closed,,(613) 912-2247,http://feelyrealestate.com/,,Website,,Directions,Onsite services,⋅ Opens 8 a.m.,·,Online appointments,
https://www.google.com/maps/place/TRU+Realty/data=!4m7!3m6!1s0x4cce05ae0f5a84b9:0x1c1d0d1a49bc2f68!8m2!3d45.4129599!4d-75.6940715!16s%2Fg%2F11rrw2mzvg!19sChIJuYRaD64FzkwRaC-8SRoNHRw?authuser=0&hl=en&rclk=1,TRU Realty,4.9,-47,Real Estate Agency,·,,"Staples Studio, 403 Bank St",·,Closed,,(343) 300-6200,http://trurealty.ca/,,Website,,Directions,,⋅ Opens 9 a.m.,,,
https://www.google.com/maps/place/Chowdhury+Real+Estate+%7C+Ottawa+Realtor/data=!4m7!3m6!1s0x4cce05466b845d6f:0x57715d01a48b7540!8m2!3d45.3985581!4d-75.7084329!16s%2Fg%2F11r3rc1w0b!19sChIJb12Ea0YFzkwRQHWLpAFdcVc?authuser=0&hl=en&rclk=1,Chowdhury Real Estate | Ottawa Realtor,5,-115,Real Estate Agency,·,,482 Preston St,·,Open 24 hours,,(613) 806-5984,http://chowdhuryrealestate.com/,,Website,,Directions,,,,,
https://www.google.com/maps/place/Anna+Alemi+Team+Ottawa+Realtor+%7C+Your+Home+Sold+GUARANTEED+or+We+Buy+It!*/data=!4m7!3m6!1s0x4cce0f7e1ae3618f:0xb475fc27d8f91c6b!8m2!3d45.3998186!4d-75.6843649!16s%2Fg%2F11dynv5t89!19sChIJj2HjGn4PzkwRaxz52Cf8dbQ?authuser=0&hl=en&rclk=1,Anna Alemi Team Ottawa Realtor | Your Home Sold GUARANTEED or We Buy It!*,4.9,-157,Real Estate Agency,·,,·,825 Exhibition Way #205,Open 24 hours,·,(343) 342-1107,https://annaalemi.com/,,Website,,Directions,Onsite services,,·,Online appointments,
https://www.google.com/maps/place/The+Campbell-Maric+Group+-+Ottawa+Real+Estate+Agents/data=!4m7!3m6!1s0x4cce041bba0bcd3d:0xbffa5d671f78fae1!8m2!3d45.4123221!4d-75.6490574!16s%2Fg%2F11f53l4x_2!19sChIJPc0LuhsEzkwR4fp4H2dd-r8?authuser=0&hl=en&rclk=1,The Campbell-Maric Group - Ottawa Real Estate Agents,5,-79,Real Estate Agency,·,,·,485 Industrial Ave,Open 24 hours,·,(613) 799-9022,https://www.yourhomeinottawa.ca/,,Website,,Directions,Onsite services,,·,Online appointments,
https://www.google.com/maps/place/The+Tulip+Team/data=!4m7!3m6!1s0x4cce05b58633807d:0xc4459b9c9fdf96c2!8m2!3d45.4039271!4d-75.7019927!16s%2Fg%2F1tx_5_09!19sChIJfYAzhrUFzkwRwpbfn5ybRcQ?authuser=0&hl=en&rclk=1,The Tulip Team,4.9,-98,Real Estate Agency,·,,·,610 Bronson Ave,Open 24 hours,·,(613) 788-2113,https://www.thetulipteam.com/,,Website,,Directions,Onsite services,,·,Online appointments,
https://www.google.com/maps/place/Bob+Fraser+Real+Estate+-+Ottawa+Re%2FMax+Sales+Representative/data=!4m7!3m6!1s0x4cce05ae30af90c1:0xc633a2f78517513a!8m2!3d45.413084!4d-75.6917762!16s%2Fg%2F1tp0d8zv!19sChIJwZCvMK4FzkwROlEXhfeiM8Y?authuser=0&hl=en&rclk=1,Bob Fraser Real Estate - Ottawa Re/Max Sales Representative,5,-99,Real Estate Agency,·,,344 O'Connor St,·,Open 24 hours,,(613) 302-1624,http://www.bobfraser.com/,,Website,,Directions,Onsite services,,·,Online appointments,
https://www.google.com/maps/place/Andrade+Forde+Real+Estate+Team+Ottawa/data=!4m7!3m6!1s0x4cce069ee8cffffd:0x3fba4722be9ca73b!8m2!3d45.3783375!4d-75.7523837!16s%2Fg%2F11g0r1h47w!19sChIJ_f_P6J4GzkwRO6ecviJHuj8?authuser=0&hl=en&rclk=1,Andrade Forde Real Estate Team Ottawa,5,-120,Real estate agent,·,,1723 Carling Ave,·,Open 24 hours,,(613) 795-5457,https://andradefordeteam.ca/,,Website,,Directions,Onsite services,,·,Online appointments,
https://www.google.com/maps/place/The+West+Team/data=!4m7!3m6!1s0x4cce009d51a9ddab:0x22c10e8c39bad999!8m2!3d45.3694167!4d-75.7687714!16s%2Fg%2F1q62m1ygt!19sChIJq92pUZ0AzkwRmdm6OYwOwSI?authuser=0&hl=en&rclk=1,The West Team,5,-358,Real Estate Agency,·,,·,2148 Carling Ave #6,Closed,·,(613) 699-7918,http://thewestteam.ca/,,Website,,Directions,Onsite services,⋅ Opens 8 a.m.,·,Online appointments,
https://www.google.com/maps/place/Rony+Rizk+-+Your+Home+Sold+Guaranteed+Or+I%27ll+buy+it/data=!4m7!3m6!1s0x4cce069e82ac0001:0x503ed4b09ab536b!8m2!3d45.4066737!4d-75.7210164!16s%2Fg%2F11c6_khlgh!19sChIJAQCsgp4GzkwRa1OrCUvtAwU?authuser=0&hl=en&rclk=1,Rony Rizk - Your Home Sold Guaranteed Or I'll buy it,5,-97,Real Estate Agency,·,,24 Bayswater Ave,·,Open 24 hours,,(613) 513-7495,http://www.ronyrizk.com/,,Website,,Directions,Onsite services,,·,Online appointments,
https://www.google.com/maps/place/Diane+%26+Jen/data=!4m7!3m6!1s0x4cce05ba61217271:0xe3e04ea2437ed5e8!8m2!3d45.4032723!4d-75.6882638!16s%2Fg%2F1tf4dnnl!19sChIJcXIhYboFzkwR6NV-Q6JO4OM?authuser=0&hl=en&rclk=1,Diane & Jen,5,-87,Real estate consultant,·,,787 Bank St,·,Open 24 hours,,(613) 422-8688,https://dianeandjen.com/,,Website,,Directions,Online appointments,,,,
https://www.google.com/maps/place/Walker+Real+Estate+Group/data=!4m7!3m6!1s0x4cce05837672a40b:0xa322bd2423f751c7!8m2!3d45.410832!4d-75.6910864!16s%2Fg%2F11g_4x31ht!19sChIJC6RydoMFzkwRx1H3IyS9IqM?authuser=0&hl=en&rclk=1,Walker Real Estate Group,4.9,-195,Real Estate Agency,·,,238 Argyle Ave,·,Closed,,(613) 830-5858,http://walkerottawa.com/,,Website,,Directions,,⋅ Opens 8 a.m.,,,
https://www.google.com/maps/place/Multivesco/data=!4m7!3m6!1s0x4cce048611b1cc15:0xdaa904c6712b2136!8m2!3d45.4310379!4d-75.7301483!16s%2Fg%2F1v41_29p!19sChIJFcyxEYYEzkwRNiErccYEqdo?authuser=0&hl=en&rclk=1,Multivesco,3.9,-18,Real estate developer,·,,·,200 Rue Montcalm #400,,,(819) 778-5001,https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwjJs6at7JeMAxUzNK0GHXMEKAYYABABGgJwdg&co=1&gclid=Cj0KCQjw1um-BhDtARIsABjU5x4ix-L0MQsy-MKZa1ITFny5V4ecx2VLyfgShacvKhVpXsl09sGm4TQaAq_9EALw_wcB&ohost=www.google.com&cid=CAESVeD2bBVdrlW_i8_Vg8if25mQLBJKKKjX2tkQeM3ekk0sjncDiVRBoReyRdLR9OLQgUpAYQoQJugG-YET71-672AOYobnt_uOJxiYjV_MyTkg_c7aDrg&sig=AOD64_1Q9gtEc6wkWIXx09RZ0axaERMLIQ&adurl&q&ctype=99,,Website,,Directions,,,,,
https://www.google.com/maps/place/TrinityStone+Realty/data=!4m7!3m6!1s0x4cd207954bd0cf3f:0x5b5bdebfeea46054!8m2!3d45.2655398!4d-75.9303671!16s%2Fg%2F11sp64v9kw!19sChIJP8_QS5UH0kwRVGCk7r_eW1s?authuser=0&hl=en&rclk=1,TrinityStone Realty,5,-6,Real Estate Agency,·,,1300 Stittsville Main St Unit 109,Closed,⋅ Opens 9 a.m.,·,(613) 417-3599,https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwjJs6at7JeMAxUzNK0GHXMEKAYYABAAGgJwdg&co=1&gclid=Cj0KCQjw1um-BhDtARIsABjU5x4VoBKTjoVnd8Dv5FIXXTxgWfQQaYYlF1Kc_ZqKyWuyqY2n8HFbo1YaAj7_EALw_wcB&ohost=www.google.com&cid=CAESVeD2bBVdrlW_i8_Vg8if25mQLBJKKKjX2tkQeM3ekk0sjncDiVRBoReyRdLR9OLQgUpAYQoQJugG-YET71-672AOYobnt_uOJxiYjV_MyTkg_c7aDrg&sig=AOD64_0A8DqFaeZ37_MKqCeRIgtk7MzcQA&adurl&q&ctype=99,,Website,,Directions,,,,,
https://www.google.com/maps/place/Ottawa+House+and+Condo+Real+Estate+Group/data=!4m7!3m6!1s0x4cce0f7e1baaaaab:0x949e33e1644afeb4!8m2!3d45.3972203!4d-75.6066721!16s%2Fg%2F11f53scksj!19sChIJq6qqG34PzkwRtP5KZOEznpQ?authuser=0&hl=en&rclk=1,Ottawa House and Condo Real Estate Group,4.9,-118,Real Estate Agency,·,,2733 Lancaster Rd #121,·,Open 24 hours,,(613) 889-9911,http://www.ottawahouseandcondo.com/,,Website,,Directions,Online appointments,,·,Onsite services not available,
https://www.google.com/maps/place/EXP+Realty+Ottawa+-+Fady+Gayed/data=!4m7!3m6!1s0x4cce055ccbb36ad7:0xb835e7efeff689df!8m2!3d45.4022313!4d-75.7094954!16s%2Fg%2F11mvpbl507!19sChIJ12qzy1wFzkwR34n27-_nNbg?authuser=0&hl=en&rclk=1,EXP Realty Ottawa - Fady Gayed,5,-37,Real Estate Agency,·,,343 Preston St 11th Floor,Open 24 hours,·,,(647) 979-7695,,,Directions,,,,,,,
https://www.google.com/maps/place/RE%2FMAX+Affiliates+Results+Realty+Inc.+-+Ottawa+Realtors/data=!4m7!3m6!1s0x4ccdff70bd82468b:0xb70ddb356786cdc1!8m2!3d45.3008333!4d-75.9141266!16s%2Fg%2F11by_dcw05!19sChIJi0aCvXD_zUwRwc2GZzXbDbc?authuser=0&hl=en&rclk=1,RE/MAX Affiliates Results Realty Inc. - Ottawa Realtors,5,-123,Real Estate Agency,·,,·,747 Silver Seven Rd #29,Open 24 hours,·,(613) 769-2183,https://www.ottawa-homes.ca/,,Website,,Directions,Onsite services,,·,Online appointments,
https://www.google.com/maps/place/Steven+Saab+1%25+Realtor/data=!4m7!3m6!1s0x4cce1358bc7b5011:0x7c041401f248d4fb!8m2!3d45.3985581!4d-75.7084329!16s%2Fg%2F11h24jms3x!19sChIJEVB7vFgTzkwR-9RI8gEUBHw?authuser=0&hl=en&rclk=1,Steven Saab 1% Realtor,5,-106,Real Estate Agency,·,,482 Preston St,·,Open 24 hours,,(613) 863-5886,http://www.saabrealty.ca/,,Website,,Directions,,,,,
https://www.google.com/maps/place/Moustafa+Elgendy+-+Ottawa+Real+Estate+Agent/data=!4m7!3m6!1s0x4cce009d514e0013:0x1fa55308c88064a2!8m2!3d45.369405!4d-75.769179!16s%2Fg%2F11c1s_2k2z!19sChIJEwBOUZ0AzkwRomSAyAhTpR8?authuser=0&hl=en&rclk=1,Moustafa Elgendy - Ottawa Real Estate Agent,5,-99,Real Estate Agency,·,,2148 Carling Ave #5&6,,Open 24 hours,,,https://elgendygroup.com/,,Website,,Directions,,,,,
https://www.google.com/maps/place/Chell+Team+%7C+Ottawa+Real+Estate+Agents/data=!4m7!3m6!1s0x4cce05ae3a0087f7:0x923a314bcdf048b9!8m2!3d45.4131212!4d-75.6918158!16s%2Fg%2F11bx9wlgrt!19sChIJ94cAOq4FzkwRuUjwzUsxOpI?authuser=0&hl=en&rclk=1,Chell Team | Ottawa Real Estate Agents,5,-68,Real Estate Agency,·,,344 O'Connor St,·,Closed,,(613) 829-7484,http://www.chellteam.com/,,Website,,Directions,Onsite services,⋅ Opens 9 a.m.,·,Online appointments,
https://www.google.com/maps/place/HomeFluent+Realty+-+Your+Real+Estate+Partner/data=!4m7!3m6!1s0x4cce0599e46764ad:0x4cb77122e52808e2!8m2!3d45.4204818!4d-75.6928242!16s%2Fg%2F11h_xlwmbz!19sChIJrWRn5JkFzkwR4ggo5SJxt0w?authuser=0&hl=en&rclk=1,HomeFluent Realty - Your Real Estate Partner,5,-108,Real Estate Agency,·,,150 Elgin St 10th Floor,·,Closed,,(613) 698-8380,http://www.homefluent.com/,,Website,,Directions,,⋅ Opens 9 a.m.,,,
https://www.google.com/maps/place/Ray+Smiley+Broker/data=!4m7!3m6!1s0x4cce05ae30af90c1:0x809726bec204d798!8m2!3d45.4130726!4d-75.6918445!16s%2Fg%2F1tdnwjdy!19sChIJwZCvMK4FzkwRmNcEwr4ml4A?authuser=0&hl=en&rclk=1,Ray Smiley Broker,4.9,-95,Real Estate Agency,·,,·,344 O'Connor St,Closed,·,(613) 818-1819,https://homeforsaleinottawa.com/,,Website,,Directions,Onsite services,⋅ Opens 9 a.m.,,,
https://www.google.com/maps/place/Gauthier+Homes+Real+Estate/data=!4m7!3m6!1s0x4cce069e82ac0001:0x42611d0e5e306125!8m2!3d45.4604139!4d-75.4675646!16s%2Fg%2F11c1szxb7l!19sChIJAQCsgp4GzkwRJWEwXg4dYUI?authuser=0&hl=en&rclk=1,Gauthier Homes Real Estate,5,-174,Real Estate Agency,·,,521 Cannes Cres,·,Closed,,(613) 697-7771,https://gauthierhomes.com/,,Website,,Directions,Onsite services,⋅ Opens 9 a.m.,·,Online appointments,
https://www.google.com/maps/place/Ottawa+Urban+Realty+Inc./data=!4m7!3m6!1s0x4cce05b8f153cec3:0x302356e043ba0653!8m2!3d45.406988!4d-75.6927531!16s%2Fg%2F11bw2gk6_3!19sChIJw85T8bgFzkwRUwa6Q-BWIzA?authuser=0&hl=en&rclk=1,Ottawa Urban Realty Inc.,5,-23,Real Estate Agency,·,,Rosebery Ave,·,Open 24 hours,,(613) 233-2323,http://www.ottawaurbanrealty.com/,,Website,,Directions,Online appointments,,·,Onsite services not available,
https://www.google.com/maps/place/Team+Gupta+Realty/data=!4m7!3m6!1s0x4cce07500d9cbd8d:0xe9e287116ca78a84!8m2!3d45.3531537!4d-75.759928!16s%2Fg%2F11mvbhdgk_!19sChIJjb2cDVAHzkwRhIqnbBGH4uk?authuser=0&hl=en&rclk=1,Team Gupta Realty,4.7,-31,Real Estate Agency,·,,1915 Baseline Rd suite 100,Open 24 hours,·,,(613) 700-7472,,,Directions,,,,,,,
https://www.google.com/maps/place/Complete+Real+Estate+Pros/data=!4m7!3m6!1s0x4cce0f1df03fffff:0x394758d46870a378!8m2!3d45.3972203!4d-75.6066721!16s%2Fg%2F11lr7srb20!19sChIJ__8_8B0PzkwReKNwaNRYRzk?authuser=0&hl=en&rclk=1,Complete Real Estate Pros,4.9,-31,Real Estate Agency,·,,2733 Lancaster Rd,·,Open 24 hours,,(613) 784-9620,http://www.completerealestatepros.com/,,Website,,Directions,,,,,
https://www.google.com/maps/place/Anna+Tran+%7C+Ottawa+Real+Estate+Broker+%7C+REMAX/data=!4m7!3m6!1s0x4cce117eafbb8a07:0xc88ff3a448d860c6!8m2!3d45.468145!4d-75.5305466!16s%2Fg%2F11h71f7r_s!19sChIJB4q7r34RzkwRxmDYSKTzj8g?authuser=0&hl=en&rclk=1,Anna Tran | Ottawa Real Estate Broker | REMAX,5,-21,Real Estate Agency,·,,2316 St Joseph Blvd,·,Open 24 hours,,(613) 818-2409,https://www.annatran.com/,,Website,,Directions,,,,,
https://www.google.com/maps/place/Sarazen+Realty:+Coldwell+Banker/data=!4m7!3m6!1s0x4cce0136e0a0aaef:0xcad97bc6dc1ad39b!8m2!3d45.3725906!4d-75.7804119!16s%2Fg%2F11b70ftstl!19sChIJ76qg4DYBzkwRm9Ma3MZ72co?authuser=0&hl=en&rclk=1,Sarazen Realty: Coldwell Banker,4.3,-35,Real Estate Agency,·,,·,1090 Ambleside Dr #108,Closed,·,(613) 596-4133,http://www.cbsarazen.ca/,,Website,,Directions,,⋅ Opens 9 a.m.,,,
https://www.google.com/maps/place/John+Donovan+Properties+-+Team+of+Ottawa+Realtors/data=!4m7!3m6!1s0x4cce05ba7b0ce1b9:0xd0b8762ca6a013d1!8m2!3d45.4091219!4d-75.6892052!16s%2Fg%2F11h2lp4bxt!19sChIJueEMe7oFzkwR0ROgpix2uNA?authuser=0&hl=en&rclk=1,John Donovan Properties - Team of Ottawa Realtors,4.8,-51,Real Estate Agency,·,,165 Pretoria Ave,·,Closed,,(613) 292-2176,http://johndonovanproperties.com/,,Website,,Directions,Onsite services,⋅ Opens 6 a.m.,,,
https://www.google.com/maps/place/Faulkner+Real+Estate+Ltd/data=!4m7!3m6!1s0x4cce04345fdafd91:0x5a092b97c3b86ac3!8m2!3d45.4197011!4d-75.6901551!16s%2Fg%2F1tgz530k!19sChIJkf3aXzQEzkwRw2q4w5crCVo?authuser=0&hl=en&rclk=1,Faulkner Real Estate Ltd,4.9,-61,Real Estate Agency,·,,108 Lisgar St #103,·,Closed,,(613) 231-4663,http://www.homesinottawa.com/,,Website,,Directions,,⋅ Opens 9:30 a.m.,,,
https://www.google.com/maps/place/Vineet+Kauden+-+Realtor/data=!4m7!3m6!1s0x4cce051f84119257:0xa8bd4b5e9345f434!8m2!3d45.4124345!4d-75.6926451!16s%2Fg%2F11ppl0dy06!19sChIJV5IRhB8FzkwRNPRFk15Lvag?authuser=0&hl=en&rclk=1,Vineet Kauden - Realtor,5,-68,Real Estate Agency,·,,342 Gladstone Ave,Open 24 hours,·,,(613) 298-8056,,,Directions,,,,,,,
https://www.google.com/maps/place/District+Realty+Corporation/data=!4m7!3m6!1s0x4cce04477e0bad13:0x356c557fee5d272d!8m2!3d45.4061183!4d-75.7206994!16s%2Fg%2F1tdmk2xn!19sChIJE60LfkcEzkwRLSdd7n9VbDU?authuser=0&hl=en&rclk=1,District Realty Corporation,4.2,-192,Property management company,·,,·,50 Bayswater Ave,Closed,·,(613) 759-8383,http://www.districtrealty.com/,,Website,,Directions,Onsite services,⋅ Opens 8:30 a.m.,,,
"https://www.google.com/maps/place/Upside+Realty+Group,+Ottawa+Real+Estate-+Keller+Williams/data=!4m7!3m6!1s0x4cce0752e674876b:0x369d7f9751549c24!8m2!3d45.3694167!4d-75.7687714!16s%2Fg%2F11rfwhpnbd!19sChIJa4d05lIHzkwRJJxUUZd_nTY?authuser=0&hl=en&rclk=1","Upside Realty Group, Ottawa Real Estate- Keller Williams",4.9,-54,Real Estate Agency,·,,2148 Carling Ave,·,Closed,,(613) 447-9983,https://uprealty.ca/,,Website,,Directions,,⋅ Opens 10 a.m.,,,
https://www.google.com/maps/place/OTTAWA+REALTOR+-+CHRIS+STEEVES/data=!4m7!3m6!1s0x4cce04e23e2fdcc7:0xb51d9d7c103bcdad!8m2!3d45.398505!4d-75.7551797!16s%2Fg%2F1pyqs1mrs!19sChIJx9wvPuIEzkwRrc07EHydHbU?authuser=0&hl=en&rclk=1,OTTAWA REALTOR - CHRIS STEEVES,5,-65,Real estate consultant,·,,283 Beechgrove Ave,·,Open 24 hours,,(613) 262-1697,http://www.chrissteeves.ca/,,Website,,Directions,Onsite services,,·,Online appointments,
"https://www.google.com/maps/place/The+Lennox,+90+Champagne+Ave/data=!4m7!3m6!1s0x4cce05e2dbfa3895:0x77c9419019c1685b!8m2!3d45.39881!4d-75.71207!16s%2Fg%2F11st8n67ct!19sChIJlTj62-IFzkwRW2jBGZBByXc?authuser=0&hl=en&rclk=1","The Lennox, 90 Champagne Ave",4,-16,Apartment building,·,,·,90 Champagne Ave S,,,(613) 366-1652,https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwio0YS17JeMAxUTE60GHe21It8YABAAGgJwdg&co=1&gclid=Cj0KCQjw1um-BhDtARIsABjU5x4rN7tTBlSJQB4_bTzwqY83oTOshCXCMwPGrJvB5rCw6zJD_iOe9S0aAtLKEALw_wcB&ohost=www.google.com&cid=CAESVeD2R9Ogiy1l2wu_hv4SttxbeGGW8C0v_m0L4WUJExjP8i3TgTnfd0bPFHWCQUlnXEaYjKkaGCFOuVBr9m8LaJPJRnCj3_67ZaFuQR86grmEDGAVg5A&sig=AOD64_11J5owCf45ujxAJhc_67mggDYcEw&adurl&q&ctype=99,,Website,,Directions,,,,,
https://www.google.com/maps/place/Multivesco/data=!4m7!3m6!1s0x4cce048611b1cc15:0xdaa904c6712b2136!8m2!3d45.4310379!4d-75.7301483!16s%2Fg%2F1v41_29p!19sChIJFcyxEYYEzkwRNiErccYEqdo?authuser=0&hl=en&rclk=1,Multivesco,3.9,-18,Real estate developer,·,,·,200 Rue Montcalm #400,,,(819) 778-5001,https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwio0YS17JeMAxUTE60GHe21It8YABABGgJwdg&co=1&gclid=Cj0KCQjw1um-BhDtARIsABjU5x51YGzpZLnHCHCoH-zEKpCbQE8ed08rFKmGiePvJoKYXovRpHtaSLMaAnTLEALw_wcB&ohost=www.google.com&cid=CAESVeD2R9Ogiy1l2wu_hv4SttxbeGGW8C0v_m0L4WUJExjP8i3TgTnfd0bPFHWCQUlnXEaYjKkaGCFOuVBr9m8LaJPJRnCj3_67ZaFuQR86grmEDGAVg5A&sig=AOD64_0R3oPBI-pRgDSknJNjrddCI39_Eg&adurl&q&ctype=99,,Website,,Directions,,,,,
"https://www.google.com/maps/place/Richard+Louis+-+The+RL+Group,+Ottawa+REALTORS+%C2%AE+-+Royal+Lepage+Team+Realty,+Brokerage/data=!4m7!3m6!1s0x46067bb1d47d9fc7:0x19d37a7ef727b253!8m2!3d45.3783375!4d-75.7523837!16s%2Fg%2F11rrlvkplh!19sChIJx5991LF7BkYRU7In93560xk?authuser=0&hl=en&rclk=1","Richard Louis - The RL Group, Ottawa REALTORS ® - Royal Lepage Team Realty, Brokerage",5,-98,Real Estate Agency,·,,1723 Carling Ave,·,Closed,,(613) 854-9600,http://www.therichardlouis.com/,,Website,,Directions,Onsite services,⋅ Opens 7:30 a.m.,·,Online appointments,
